update,rollout_steps,episodes_finished,completed,timeouts,trained_win_rate,opponent_win_rate,average_step_reward,trainable_samples,fighter_samples,cleric_samples,wizard_samples,policy_loss,value_loss,entropy,loss,checkpoint,curriculum_level,curriculum_stage,curriculum_kind,training_classes,curriculum_window_size,curriculum_window_win_rate,curriculum_threshold,curriculum_updates_on_level
205,1024,5,2,3,0.0,1.0,-0.006767578125,698,296,402,0,0.1556558571755886,0.9665788064400355,0.4660469889640808,0.6342848067482313,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.1,0.7,143
210,1024,9,8,1,0.375,0.625,0.0452724609375,719,395,324,0,0.1283109157035748,1.0381193210681279,0.3598194991548856,0.6437723860144615,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.3,0.7,148
215,1024,5,4,1,0.5,0.5,0.016533203125,727,345,382,0,0.055313198206325374,0.9363704373439153,0.5653228859106699,0.5178451885779699,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.3333333333333333,0.7,153
220,1024,2,2,0,0.0,1.0,-0.006158203125,737,386,351,0,0.054255390365142375,0.5115523537000021,0.4749815836548805,0.30528175334135693,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.3,0.7,158
225,1024,2,0,2,0.0,0.0,-0.0108427734375,756,401,355,0,-0.030174056611334283,0.274816586325566,0.454155112306277,0.10269268695265055,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.3333333333333333,0.7,163
230,1024,6,4,2,0.75,0.25,0.004843750000000001,720,382,338,0,0.10980828502215445,1.3850534160931904,0.49948421120643616,0.7973401496807734,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.3333333333333333,0.7,168
235,1024,6,2,4,0.0,1.0,0.0040429687500000006,714,355,359,0,0.10677625549336274,0.7054254114627838,0.4553050547838211,0.4549359108010928,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.1,0.7,173
240,1024,8,5,3,0.4,0.6,0.025179687500000002,703,344,359,0,0.04571679265548786,0.929326593875885,0.5539270341396332,0.504840816060702,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.16666666666666666,0.7,178
245,1024,5,3,2,0.3333333333333333,0.6666666666666666,-0.004699218749999999,753,386,367,0,-0.03956032699594895,0.5089695056279501,0.6061762819687525,0.20886265921096006,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.26666666666666666,0.7,183
250,1024,7,7,0,0.14285714285714285,0.8571428571428571,0.0346552734375,721,336,385,0,0.12814554758369923,0.890433261791865,0.4655625869830449,0.5687065621217092,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.1,0.7,188
